"Error", "Fehler"
"User not found", "Benutzerkonto nicht gefunden!"
"PDF File", "PDF Datei"
"Title", "Titel"
"create", "erstellen"
"str_reprocess_description", "Hierbei werden Seiten neu angelegt, sowie Hintergrund und Hintergrundfarbe neu gesetzt."
"str_reprocess_title", "Diese Publikation erneut verarbeiten?"
"str_delete_body", "Achtung, es werden alle Daten unwiderruflich gelöscht!"
"str_delete_title", "Diese Publikation löschen?"
"str_upload_body", "Dieses Buch zu Ihrem FTP Ort hochladen? Dieser Prozess kann mehrere Minuten dauern. Bitte schliessen Sie solange dieses Fenster NICHT!"
"str_backgroundimage", "Das Hintergrundbild ersetzt das Default-Hintergrundbild."
"str_backgroundcolor", "Wenn kein Hintergrundbild angegeben wird, wird nur diese Farbe angezeigt und das Default-Hintergrundbild ausgeblendet."
"str_basetitle", "zB. "Mein Titel" wird zu "Mein Titel - Publikation Titel"
"str_force_upload", "Vorhandene Dateien auf Ziel-Ort überschreiben"
